SOIL_LANDSCAPE_ID,ERI_1981_VAL,ERI_1981_CLASS,ERI_1981_CLASS_EN,ERI_1981_CLASS_FR,ERI_1986_VAL,ERI_1986_CLASS,ERI_1986_CLASS_EN,ERI_1986_CLASS_FR,ERI_1991_VAL,ERI_1991_CLASS,ERI_1991_CLASS_EN,ERI_1991_CLASS_FR,ERI_1996_VAL,ERI_1996_CLASS,ERI_1996_CLASS_EN,ERI_1996_CLASS_FR,ERI_2001_VAL,ERI_2001_CLASS,ERI_2001_CLASS_EN,ERI_2001_CLASS_FR,ERI_2006_VAL,ERI_2006_CLASS,ERI_2006_CLASS_EN,ERI_2006_CLASS_FR,ERI_2011_VAL,ERI_2011_CLASS,ERI_2011_CLASS_EN,ERI_2011_CLASS_FR,ERI_2016_VAL,ERI_2016_CLASS,ERI_2016_CLASS_EN,ERI_2016_CLASS_FR,ERI_2021_VAL,ERI_2021_CLASS,ERI_2021_CLASS_EN,ERI_2021_CLASS_FR,ERI_81_21_CHG_VAL,ERI_81_21_CHG_CLASS,ERI_81_21_CHG_CLASS_EN,ERI_81_21_CHG_CLASS_FR
244007,2.937,1,Very Low,Très faible,2.877,1,Very Low,Très faible,3.476,1,Very Low,Très faible,1.695,1,Very Low,Très faible,1.337,1,Very Low,Très faible,0.989,1,Very Low,Très faible,0.509,1,Very Low,Très faible,0.414,1,Very Low,Très faible,0.598,1,Very Low,Très faible,-2.339,-1,Decrease,Diminuation
244014,7.188,2,Low,Faible,6.835,2,Low,Faible,7.828,2,Low,Faible,4.123,1,Very Low,Très faible,3.26,1,Very Low,Très faible,2.79,1,Very Low,Très faible,1.048,1,Very Low,Très faible,1.177,1,Very Low,Très faible,1.045,1,Very Low,Très faible,-6.143,-2,Large Decrease,Grande diminuation
244061,2.563,1,Very Low,Très faible,2.53,1,Very Low,Très faible,2.357,1,Very Low,Très faible,2.018,1,Very Low,Très faible,1.514,1,Very Low,Très faible,1.098,1,Very Low,Très faible,0.654,1,Very Low,Très faible,0.723,1,Very Low,Très faible,0.763,1,Very Low,Très faible,-1.8,-1,Decrease,Diminuation
244070,2.823,1,Very Low,Très faible,2.871,1,Very Low,Très faible,2.536,1,Very Low,Très faible,2.196,1,Very Low,Très faible,1.67,1,Very Low,Très faible,1.228,1,Very Low,Très faible,0.758,1,Very Low,Très faible,0.834,1,Very Low,Très faible,0.913,1,Very Low,Très faible,-1.91,-1,Decrease,Diminuation
252025,7.511,2,Low,Faible,6.409,2,Low,Faible,6.478,2,Low,Faible,4.338,1,Very Low,Très faible,3.769,1,Very Low,Très faible,4.888,1,Very Low,Très faible,1.665,1,Very Low,Très faible,1.781,1,Very Low,Très faible,2.891,1,Very Low,Très faible,-4.62,-1,Decrease,Diminuation
371010,18.022,3,Moderate,Moyen,18.316,3,Moderate,Moyen,15.556,3,Moderate,Moyen,18.361,3,Moderate,Moyen,14.118,3,Moderate,Moyen,13.161,3,Moderate,Moyen,13.84,3,Moderate,Moyen,13.132,3,Moderate,Moyen,17.69,3,Moderate,Moyen,-0.331999999999997,0,Little or no change,Peu ou pas de changement
375001,3.669,1,Very Low,Très faible,3.907,1,Very Low,Très faible,3.763,1,Very Low,Très faible,3.85,1,Very Low,Très faible,2.942,1,Very Low,Très faible,4.655,1,Very Low,Très faible,4.84,1,Very Low,Très faible,4.466,1,Very Low,Très faible,4.863,1,Very Low,Très faible,1.194,1,Increase,Augmentation
375002,2.462,1,Very Low,Très faible,2.526,1,Very Low,Très faible,2.302,1,Very Low,Très faible,2.331,1,Very Low,Très faible,2.134,1,Very Low,Très faible,2.032,1,Very Low,Très faible,2.32,1,Very Low,Très faible,2.276,1,Very Low,Très faible,2.643,1,Very Low,Très faible,0.181,0,Little or no change,Peu ou pas de changement
375003,2.799,1,Very Low,Très faible,2.913,1,Very Low,Très faible,3.186,1,Very Low,Très faible,2.999,1,Very Low,Très faible,2.798,1,Very Low,Très faible,2.679,1,Very Low,Très faible,3.387,1,Very Low,Très faible,2.75,1,Very Low,Très faible,3.27,1,Very Low,Très faible,0.471,0,Little or no change,Peu ou pas de changement
375004,1.746,1,Very Low,Très faible,1.802,1,Very Low,Très faible,2.067,1,Very Low,Très faible,2.131,1,Very Low,Très faible,1.906,1,Very Low,Très faible,1.97,1,Very Low,Très faible,2.17,1,Very Low,Très faible,2.084,1,Very Low,Très faible,2.42,1,Very Low,Très faible,0.674,0,Little or no change,Peu ou pas de changement
