SOIL_LANDSCAPE_ID,ERI_TILL_1981_VAL,ERI_TILL_1981_CLASS,ERI_TILL_1981_CLASS_EN,ERI_TILL_1981_CLASS_FR,ERI_TILL_1986_VAL,ERI_TILL_1986_CLASS,ERI_TILL_1986_CLASS_EN,ERI_TILL_1986_CLASS_FR,ERI_TILL_1991_VAL,ERI_TILL_1991_CLASS,ERI_TILL_1991_CLASS_EN,ERI_TILL_1991_CLASS_FR,ERI_TILL_1996_VAL,ERI_TILL_1996_CLASS,ERI_TILL_1996_CLASS_EN,ERI_TILL_1996_CLASS_FR,ERI_TILL_2001_VAL,ERI_TILL_2001_CLASS,ERI_TILL_2001_CLASS_EN,ERI_TILL_2001_CLASS_FR,ERI_TILL_2006_VAL,ERI_TILL_2006_CLASS,ERI_TILL_2006_CLASS_EN,ERI_TILL_2006_CLASS_FR,ERI_TILL_2011_VAL,ERI_TILL_2011_CLASS,ERI_TILL_2011_CLASS_EN,ERI_TILL_2011_CLASS_FR,ERI_TILL_2016_VAL,ERI_TILL_2016_CLASS,ERI_TILL_2016_CLASS_EN,ERI_TILL_2016_CLASS_FR,ERI_TILL_2021_VAL,ERI_TILL_2021_CLASS,ERI_TILL_2021_CLASS_EN,ERI_TILL_2021_CLASS_FR,ERI_TILL_81_21_CHG_VAL,ERI_TILL_81_21_CHG_CLASS,ERI_TILL_81_21_CHG_CLASS_EN,ERI_TILL_81_21_CHG_CLASS_FR
244007,2.401,1,Very Low,Très faible,2.28,1,Very Low,Très faible,2.61,1,Very Low,Très faible,1.371,1,Very Low,Très faible,1.003,1,Very Low,Très faible,0.735,1,Very Low,Très faible,0.308,1,Very Low,Très faible,0.261,1,Very Low,Très faible,0.391,1,Very Low,Très faible,-2.01,-1,Decrease,Diminuation
244014,7.188,2,Low,Faible,6.835,2,Low,Faible,7.828,2,Low,Faible,4.123,1,Very Low,Très faible,3.26,1,Very Low,Très faible,2.79,1,Very Low,Très faible,1.048,1,Very Low,Très faible,1.177,1,Very Low,Très faible,1.045,1,Very Low,Très faible,-6.143,-2,Large Decrease,Grande diminuation
244061,2.563,1,Very Low,Très faible,2.53,1,Very Low,Très faible,2.357,1,Very Low,Très faible,2.018,1,Very Low,Très faible,1.514,1,Very Low,Très faible,1.098,1,Very Low,Très faible,0.654,1,Very Low,Très faible,0.723,1,Very Low,Très faible,0.763,1,Very Low,Très faible,-1.8,-1,Decrease,Diminuation
244070,2.606,1,Very Low,Très faible,2.657,1,Very Low,Très faible,2.325,1,Very Low,Très faible,2.002,1,Very Low,Très faible,1.514,1,Very Low,Très faible,1.098,1,Very Low,Très faible,0.654,1,Very Low,Très faible,0.723,1,Very Low,Très faible,0.799,1,Very Low,Très faible,-1.807,-1,Decrease,Diminuation
252025,3.679,1,Very Low,Très faible,3.426,1,Very Low,Très faible,3.388,1,Very Low,Très faible,2.932,1,Very Low,Très faible,2.471,1,Very Low,Très faible,2.664,1,Very Low,Très faible,1.259,1,Very Low,Très faible,1.019,1,Very Low,Très faible,1.314,1,Very Low,Très faible,-2.365,-1,Decrease,Diminuation
371010,16.421,3,Moderate,Moyen,16.63,3,Moderate,Moyen,14.186,3,Moderate,Moyen,16.923,3,Moderate,Moyen,12.8,3,Moderate,Moyen,11.856,3,Moderate,Moyen,12.319,3,Moderate,Moyen,11.643,3,Moderate,Moyen,15.729,3,Moderate,Moyen,-0.692,0,Little or no change,Peu ou pas de changement
375001,0.853,1,Very Low,Très faible,0.881,1,Very Low,Très faible,0.799,1,Very Low,Très faible,0.724,1,Very Low,Très faible,0.606,1,Very Low,Très faible,0.671,1,Very Low,Très faible,0.722,1,Very Low,Très faible,0.663,1,Very Low,Très faible,0.92,1,Very Low,Très faible,0.0670000000000001,0,Little or no change,Peu ou pas de changement
375002,1.902,1,Very Low,Très faible,1.919,1,Very Low,Très faible,1.71,1,Very Low,Très faible,1.752,1,Very Low,Très faible,1.59,1,Very Low,Très faible,1.478,1,Very Low,Très faible,1.549,1,Very Low,Très faible,1.501,1,Very Low,Très faible,1.773,1,Very Low,Très faible,-0.129,0,Little or no change,Peu ou pas de changement
375003,1.048,1,Very Low,Très faible,1.037,1,Very Low,Très faible,0.992,1,Very Low,Très faible,0.955,1,Very Low,Très faible,0.884,1,Very Low,Très faible,0.765,1,Very Low,Très faible,0.745,1,Very Low,Très faible,0.706,1,Very Low,Très faible,0.893,1,Very Low,Très faible,-0.155,0,Little or no change,Peu ou pas de changement
375004,0.721,1,Very Low,Très faible,0.691,1,Very Low,Très faible,0.762,1,Very Low,Très faible,0.771,1,Very Low,Très faible,0.69,1,Very Low,Très faible,0.629,1,Very Low,Très faible,0.663,1,Very Low,Très faible,0.626,1,Very Low,Très faible,0.651,1,Very Low,Très faible,-0.07,0,Little or no change,Peu ou pas de changement
