SOIL_LANDSCAPE_ID,ERI_WIND_1981_VAL,ERI_WIND_1981_CLASS,ERI_WIND_1981_CLASS_EN,ERI_WIND_1981_CLASS_FR,ERI_WIND_1986_VAL,ERI_WIND_1986_CLASS,ERI_WIND_1986_CLASS_EN,ERI_WIND_1986_CLASS_FR,ERI_WIND_1991_VAL,ERI_WIND_1991_CLASS,ERI_WIND_1991_CLASS_EN,ERI_WIND_1991_CLASS_FR,ERI_WIND_1996_VAL,ERI_WIND_1996_CLASS,ERI_WIND_1996_CLASS_EN,ERI_WIND_1996_CLASS_FR,ERI_WIND_2001_VAL,ERI_WIND_2001_CLASS,ERI_WIND_2001_CLASS_EN,ERI_WIND_2001_CLASS_FR,ERI_WIND_2006_VAL,ERI_WIND_2006_CLASS,ERI_WIND_2006_CLASS_EN,ERI_WIND_2006_CLASS_FR,ERI_WIND_2011_VAL,ERI_WIND_2011_CLASS,ERI_WIND_2011_CLASS_EN,ERI_WIND_2011_CLASS_FR,ERI_WIND_2016_VAL,ERI_WIND_2016_CLASS,ERI_WIND_2016_CLASS_EN,ERI_WIND_2016_CLASS_FR,ERI_WIND_2021_VAL,ERI_WIND_2021_CLASS,ERI_WIND_2021_CLASS_EN,ERI_WIND_2021_CLASS_FR,ERI_WIND_81_21_CHG_VAL,ERI_WIND_81_21_CHG_CLASS,ERI_WIND_81_21_CHG_CLASS_EN,ERI_WIND_81_21_CHG_CLASS_FR
244007,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
244014,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
244061,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
244070,0.06,1,Very Low,Très faible,0.061,1,Very Low,Très faible,0.054,1,Very Low,Très faible,0.041,1,Very Low,Très faible,0.025,1,Very Low,Très faible,0.015,1,Very Low,Très faible,0.008,1,Very Low,Très faible,0.008,1,Very Low,Très faible,0.008,1,Very Low,Très faible,-0.052,0,Little or no change,Peu ou pas de changement
252025,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
371010,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,0,Not Assessed,Elément non évalué,,,Not Assessed,Elément non évalué
375001,2.088,1,Very Low,Très faible,2.226,1,Very Low,Très faible,2.231,1,Very Low,Très faible,2.478,1,Very Low,Très faible,1.794,1,Very Low,Très faible,3.201,1,Very Low,Très faible,3.144,1,Very Low,Très faible,2.864,1,Very Low,Très faible,2.933,1,Very Low,Très faible,0.845,0,Little or no change,Peu ou pas de changement
375002,0.164,1,Very Low,Très faible,0.183,1,Very Low,Très faible,0.208,1,Very Low,Très faible,0.191,1,Very Low,Très faible,0.172,1,Very Low,Très faible,0.16,1,Very Low,Très faible,0.243,1,Very Low,Très faible,0.251,1,Very Low,Très faible,0.297,1,Very Low,Très faible,0.133,0,Little or no change,Peu ou pas de changement
375003,1.199,1,Very Low,Très faible,1.311,1,Very Low,Très faible,1.637,1,Very Low,Très faible,1.507,1,Very Low,Très faible,1.4,1,Very Low,Très faible,1.423,1,Very Low,Très faible,1.98,1,Very Low,Très faible,1.447,1,Very Low,Très faible,1.745,1,Very Low,Très faible,0.546,0,Little or no change,Peu ou pas de changement
375004,0.831,1,Very Low,Très faible,0.911,1,Very Low,Très faible,1.078,1,Very Low,Très faible,1.129,1,Very Low,Très faible,1,1,Very Low,Très faible,1.108,1,Very Low,Très faible,1.215,1,Very Low,Très faible,1.165,1,Very Low,Très faible,1.478,1,Very Low,Très faible,0.647,0,Little or no change,Peu ou pas de changement
