SOIL_LANDSCAPE_ID,Year,Erosion_Class1,Erosion_Class2,Erosion_Class3,Erosion_Class4,Erosion_Value1N,Erosion_Value2N,Erosion_Value3N,Erosion_Value4N
244007,1981,1,0,1,1,0.022656799437376127,0.0,0.012709205020920504,0.020225792148436166
244014,1981,2,0,0,2,0.056630010868870276,0.0,0.0,0.06104403287970258
244061,1981,1,0,0,1,0.019667860111246088,0.0,0.0,0.021607148947781304
244070,1981,1,1,1,1,0.021745732370053065,0.0016740137269125605,0.0038912133891213395,0.02197380538217538
252025,1981,2,0,2,1,0.05921136755961895,0.0,0.07856694560669457,0.03112316245438112
371010,1981,3,0,1,3,0.14321334953008116,0.0,0.053462343096234315,0.13977284354855213
375001,1981,1,1,1,1,0.028506809027555785,0.058255677696557116,0.009592050209205023,0.0070261605102493255
375002,1981,1,1,1,1,0.018860686656863374,0.004575637520227666,0.013577405857740588,0.01597087213070023
375003,1981,1,1,1,1,0.02155392877693242,0.03345237430946934,0.007332635983263599,0.00868890480575736
375004,1981,1,1,1,1,0.013138546128764146,0.023185090117738963,0.0025209205020920505,0.005900610525597734
375005,1981,2,1,1,2,0.06394252285659485,0.002594721276714469,0.03457112970711298,0.0642586718510181
375006,1981,1,1,1,1,0.018972572086183748,0.025277607276379666,0.008880753138075315,0.007409870732289641
375007,1981,1,1,1,1,0.02142605971485199,0.034400982088053124,0.007112970711297072,0.008390463521948225
375008,1981,1,1,1,1,0.025222172495364747,0.05878578204341276,0.004079497907949791,0.00691531089054879
375010,1981,1,1,1,1,0.017789783261939772,0.034596283689526254,0.0031903765690376572,0.006949418465841263
375011,1981,1,1,1,1,0.010932804807876735,0.021287874560571397,0.00149581589958159,0.005295201064156349
375013,1981,1,1,1,1,0.016343264497154914,0.035935494671056306,0.002301255230125523,0.005636276817081073
375014,1981,1,1,1,1,0.009789975065532894,0.016656436582779977,0.00145397489539749,0.005491319622088066
376004,1981,1,1,1,1,0.035507640176459306,0.009318676413146588,0.005481171548117156,0.03397967188512569
378002,1981,1,0,0,1,0.017422159708458538,0.0,0.0,0.019211091783485113
378003,1981,2,0,2,1,0.055694968352407136,0.0,0.07396443514644352,0.02615198335550326
379001,1981,1,1,1,1,0.011947765488140145,0.026951621003292226,0.006600418410041842,0.004451038575667656
379002,1981,1,1,1,1,0.04126174797007864,0.12357011327492887,0.0015481171548117156,0.0058579760564821445
379003,1981,1,1,1,1,0.027172175692091297,0.04162714134255901,0.008650627615062762,0.016294894095978715
380001,1981,1,1,1,1,0.02726807748865162,0.05175492439038,0.0016945606694560673,0.013608922541696511
380002,1981,1,1,1,1,0.02356786650469919,0.052675631940181905,0.008859832635983264,0.013728299055220165
380003,1981,1,1,1,1,0.02354389105555911,0.039450923497572676,0.002552301255230126,0.013421330877587912
380004,1981,1,1,1,1,0.03680231443002366,0.10119412979186429,0.004131799163179917,0.006275793853814932
380005,1981,1,1,1,1,0.021905568697653602,0.03811171251604263,0.007071129707112972,0.008083495344315973
380006,1981,1,1,1,1,0.02952976152419922,0.0842028904637018,0.0003556485355648536,0.006164944234114397
381002,1981,5,0,5,4,0.38043443513841824,0.0,0.4283682008368201,0.263719772161397
383001,1981,1,0,0,1,0.005794066875519467,0.0,0.0,0.006804461270848255
383003,1981,2,0,1,2,0.08138865801419347,0.0,0.061684100418410055,0.07205225280534806
383004,1981,3,0,2,3,0.1587574323892334,0.0,0.07287656903765691,0.1495020294007299
383005,1981,4,0,3,4,0.2512467233552842,0.0,0.15610878661087868,0.22299532726218493
386014,1981,1,0,0,1,0.01603158365833387,0.0,0.0,0.017727412258262562
391002,1981,4,0,2,3,0.17909660507640177,0.0,0.08017782426778244,0.1660271496299328
400006,1981,2,0,1,2,0.06911322805447222,0.0,0.028619246861924692,0.06656946007708311
400008,1981,2,0,1,2,0.06420625279713572,0.0,0.021422594142259416,0.06310754118489716
401019,1981,1,0,1,1,0.010253500415574452,0.0,0.005679916317991633,0.007887376786384256
401021,1981,1,0,1,1,0.01483281120132984,0.0,0.005763598326359834,0.014444558136362086
401023,1981,1,0,1,1,0.015400230164311746,0.0,0.006495815899581591,0.014794160783109928
401026,1981,2,0,1,2,0.06472572086183748,0.0,0.026297071129707115,0.062084313926122986
401035,1981,1,0,1,1,0.007280544722204462,0.0,0.003472803347280335,0.006071148402060097
401042,1981,1,0,1,1,0.009949811393133431,0.0,0.005669456066945608,0.007580408608752003
401046,1981,1,0,1,1,0.010069688638833835,0.0,0.006673640167364017,0.007077321873188034
401047,1981,1,0,1,1,0.008615178057668947,0.0,0.005209205020920503,0.006378116579692349
401050,1981,1,0,1,1,0.007624192826545618,0.0,0.0026046025104602515,0.007119956342303625
401051,1981,1,0,1,1,0.009230547918931015,0.0,0.005930962343096234,0.006693611651147719
401053,1981,1,0,1,1,0.018093472284380796,0.0,0.008158995815899583,0.017207271735052355
401055,1981,1,0,1,1,0.00692890480148328,0.0,0.0019456066945606697,0.006719192332617073
401056,1981,1,0,1,1,0.011180551115657567,0.0,0.006652719665271967,0.008219925645485862
401058,1981,1,0,1,1,0.0072006265584041934,0.0,0.00299163179916318,0.006352535898222995
401059,1981,1,0,1,1,0.010237516782814399,0.0,0.006642259414225942,0.007256386643473515
401063,1981,1,0,1,1,0.00832747266798798,0.0,0.0036401673640167366,0.007154063917596098
401064,1981,1,0,1,1,0.00692890480148328,0.0,0.002269874476987448,0.00655718134997783
401065,1981,1,0,1,1,0.022944504827057094,0.0,0.013995815899581593,0.02044749138783724
401066,1981,1,0,1,1,0.020634869893229334,0.0,0.012594142259414227,0.018332821719703945
401067,1981,1,0,1,1,0.006161690429000703,0.0,0.00198744769874477,0.00587502984412838
401069,1981,1,0,1,1,0.007344479253244677,0.0,0.0021234309623430966,0.007085848767011153
401070,1981,1,0,1,1,0.016015600025573812,0.0,0.0013075313807531382,0.01541662403219755
401071,1981,1,0,1,1,0.008663128955949109,0.0,0.003943514644351465,0.0073416555817046964
401072,1981,4,0,3,4,0.24343072693561793,0.0,0.1819142259414226,0.20784303693850403
401073,1981,1,0,1,1,0.022321143149415,0.0,0.021684100418410044,0.01696851870800505
401074,1981,1,0,1,1,0.009278498817211175,0.0,0.005230125523012553,0.007137010129949862
401075,1981,1,0,1,1,0.010597148519915606,0.0,0.007071129707112972,0.007384290050820287
401076,1981,1,0,1,1,0.019787737356946486,0.0,0.010805439330543934,0.01682356151301204
401077,1981,1,0,1,1,0.021745732370053065,0.0,0.020805439330543938,0.01663596984890344
401078,1981,1,0,1,1,0.022001470494213925,0.0,0.0244560669456067,0.015860022510999692
401083,1981,1,0,1,1,0.0146729748737293,0.0,0.0011610878661087868,0.014214332003137898
401086,1981,1,0,1,1,0.016487117191995398,0.0,0.001380753138075314,0.015834441829530338
401087,1981,1,0,1,1,0.009797966881912923,0.0,0.006192468619246863,0.007043214297895562
401090,1981,3,0,1,3,0.14032031200051145,0.0,0.058232217573221765,0.13300248985299634
401094,1981,1,0,1,1,0.00875903075250943,0.0,0.0034937238493723856,0.00769125822845254
401095,1981,1,0,1,1,0.01835720222492168,0.0,0.007500000000000001,0.01759950885091579
401096,1981,1,0,1,1,0.007895914583466532,0.0,0.004163179916317992,0.006318428322930523
401097,1981,1,0,1,1,0.00718464292564414,0.0,0.003169456066945607,0.0061819980217606325
401098,1981,1,0,1,1,0.006249600409180998,0.0,0.0023953974895397495,0.005661857498550428
401100,1981,1,0,1,1,0.008615178057668947,0.0,0.005313807531380754,0.006386643473515467
401102,1981,1,0,1,1,0.020411099034588584,0.0,0.016527196652719667,0.01759098195709267
401108,1981,1,0,1,1,0.00907071159133048,0.0,0.00497907949790795,0.007043214297895562
401110,1981,1,0,1,1,0.006313534940221213,0.0,0.002824267782426779,0.005423104471503121
401111,1981,2,0,1,2,0.07227798734096286,0.0,0.017301255230125524,0.07316074900235342
401112,1981,1,0,1,1,0.008071734543827123,0.0,0.002981171548117155,0.00728196732494287
401116,1981,2,0,1,2,0.059634933827760375,0.0,0.014675732217573224,0.06008049387769024
401119,1981,2,0,1,2,0.06418227734799564,0.0,0.015251046025104603,0.06476175858658208
401121,1981,1,0,1,1,0.00795185729812672,0.0,0.004801255230125524,0.0058579760564821445
401125,1981,1,0,1,1,0.007304520171344544,0.0,0.003472803347280335,0.006071148402060097
401130,1981,1,0,1,1,0.04079023080365706,0.0,0.05445606694560671,0.023355162181520513
401137,1981,1,0,1,1,0.008790998018029537,0.0,0.004675732217573223,0.006974999147310617
401140,1981,1,0,1,1,0.011843871875199797,0.0,0.007635983263598327,0.008424571097240697
401141,1981,1,0,1,1,0.011827888242439744,0.0,0.007615062761506277,0.008424571097240697
402004,1981,1,0,1,1,0.009126654305990667,0.0,0.0050941422594142265,0.007085848767011153
407002,1981,2,0,1,2,0.07055175500287705,0.0,0.01719665271966527,0.0712166172106825
407003,1981,1,0,1,1,0.020459049932868744,0.0,0.0076673640167364025,0.01985913571404209
407004,1981,2,0,1,2,0.05707755258615178,0.0,0.02788702928870293,0.05359152767829735
407005,1981,4,0,2,4,0.26159612556741896,0.0,0.1131589958158996,0.25806644155666975
407007,1981,5,0,3,4,0.29914167892078514,0.0,0.16496861924686196,0.2749496913264436
408002,1981,1,0,1,1,0.007416405600664919,0.0,0.002981171548117155,0.006591288925270303
408003,1981,4,0,2,4,0.2460120836263666,0.0,0.10538702928870293,0.23252839455643098
408005,1981,1,0,1,1,0.015552074675532258,0.0,0.011809623430962344,0.009695078276885295
408006,1981,1,0,1,1,0.010381369477654882,0.0,0.0063807531380753145,0.007537774139636413
408007,1981,1,0,1,1,0.011907806406240012,0.0,0.00938284518828452,0.007299021112589106
408010,1981,1,0,1,1,0.01188383095709993,0.0,0.008619246861924687,0.007699785122275658
408011,1981,1,0,1,1,0.02140208426571191,0.0,0.013336820083682008,0.018878542924383505
408012,1981,1,0,1,1,0.02125823157087143,0.0,0.011192468619246864,0.019518059961117364
408014,1981,1,0,1,1,0.010820919378556358,0.0,0.006694560669456068,0.00781916163579931
408016,1981,4,0,2,4,0.2403299021801675,0.0,0.11027196652719666,0.22426583444182951
408017,1981,1,0,1,1,0.012691004411482642,0.0,0.009215481171548119,0.008254033220778336
408018,1981,1,0,1,1,0.01102071478805703,0.0,0.006474895397489541,0.008194344964016508
408020,1981,1,0,1,1,0.009310466082731284,0.0,0.005209205020920503,0.007137010129949862
408021,1981,1,0,1,1,0.017134454318777574,0.0,0.009602510460251047,0.009064088133974557
409003,1981,3,0,2,3,0.15259574196023273,0.0,0.0641213389121339,0.14501688324976977
409008,1981,3,0,2,3,0.1541141870724378,0.0,0.07469665271966529,0.14408745182304988
409009,1981,5,0,3,5,0.35885653091234576,0.0,0.199152719665272,0.32821719703946245
410001,1981,4,0,1,4,0.255066811584937,0.0,0.03669456066945607,0.2623298884682288
410002,1981,1,0,1,1,0.026365002237708584,0.0,0.018179916317991634,0.024907056857328014
411002,1981,2,0,1,1,0.049437376126846115,0.0,0.015407949790794982,0.04789556260445445
411003,1981,3,0,3,1,0.09671696183108497,0.0,0.1276569037656904,0.03157508782700638
411004,1981,2,0,1,2,0.07760852886644078,0.0,0.02956066945606695,0.07519014973225553
411005,1981,2,0,2,1,0.05484783581612429,0.0,0.07285564853556487,0.02153040690337324
411006,1981,3,0,3,1,0.10267885685058499,0.0,0.1354602510460251,0.025469831849653807
411007,1981,2,0,2,1,0.06184866696502782,0.0,0.08201882845188285,0.023585388314744705
411008,1981,3,0,3,1,0.09049932868742408,0.0,0.11951882845188286,0.024975272007912958
411011,1981,2,0,2,1,0.0750591394412122,0.0,0.09930962343096235,0.024131109519424265
411012,1981,4,0,4,1,0.20313598874752253,0.0,0.2669456066945607,0.03235103516491013
411013,1981,3,0,3,1,0.10384566204206892,0.0,0.1369874476987448,0.030270473072069308
412001,1981,2,0,2,1,0.049405408861326,0.0,0.06573221757322176,0.02279238718919472
413002,1981,5,0,2,4,0.2722891758838949,0.0,0.10865062761506278,0.25878270063781167
413006,1981,4,0,2,4,0.22930918739211048,0.0,0.07627615062761507,0.227113816978751
413008,1981,5,0,3,5,0.29214084777188154,0.0,0.12003138075313809,0.2963777755039394
413009,1981,4,0,1,3,0.18038328751358607,0.0,0.051171548117154825,0.16968518708005045
413010,1981,4,0,1,4,0.22143724825778402,0.0,0.009539748953974896,0.2344298918789863
413011,1981,2,0,1,2,0.07921488395882616,0.0,0.008629707112970711,0.08293256932364679
413012,1981,2,0,2,1,0.048774055367303885,0.0,0.06490585774058578,0.0316774105528838
413013,1981,3,0,1,3,0.14422031839396457,0.0,0.050596234309623435,0.14014802687676933
413014,1981,3,0,1,3,0.14685761779937345,0.0,0.04137029288702929,0.14658583171322348
413015,1981,2,0,1,2,0.07126302666069945,0.0,0.00799163179916318,0.07457621337699104
413016,1981,3,0,1,3,0.1397049421392494,0.0,0.04270920502092051,0.13746205532248712
413017,1981,5,0,2,4,0.2674301515248385,0.0,0.07945606694560671,0.26620962515774754
413018,1981,3,0,1,3,0.14406048206636404,0.0,0.0197489539748954,0.15098570892595245
413019,1981,1,0,1,1,0.017422159708458538,0.0,0.002552301255230126,0.018341348613527066
413020,1981,2,0,2,1,0.05863595678025702,0.0,0.07781380753138076,0.026706231454005934
413021,1981,3,0,1,2,0.08813375103893614,0.0,0.03422594142259414,0.08605341246290801
413022,1981,4,0,1,4,0.21717761012722972,0.0,0.03206066945606695,0.2262696544902623
413023,1981,4,0,1,4,0.20980915542484496,0.0,0.04821129707112971,0.21407619632320338
413024,1981,4,0,1,4,0.233041365641583,0.0,0.0344142259414226,0.23211910365292132
413025,1981,3,0,1,3,0.16025190205229844,0.0,0.0297907949790795,0.15989631297111087
413026,1981,2,0,2,1,0.08615178057668947,0.0,0.1138284518828452,0.0362904601111907
415004,1981,1,0,1,1,0.027915414615433797,0.0,0.027500000000000004,0.023176097411235035
415005,1981,2,0,2,1,0.072621635445304,0.0,0.0961192468619247,0.033016132883113336
415008,1981,4,0,4,2,0.2237229077424717,0.0,0.2938912133891214,0.0570022852075446
418006,1981,3,0,3,1,0.15046991880314556,0.0,0.19801255230125525,0.03995702445513148
418007,1981,1,0,1,1,0.03805702960168787,0.0,0.025784518828451883,0.03453391998362836
418008,1981,2,0,1,2,0.08192410971165526,0.0,0.054372384937238505,0.07348477096763191
418009,1981,2,0,2,1,0.07442778594719007,0.0,0.09848326359832636,0.02619461782461885
418010,1981,3,0,3,1,0.10001758199603607,0.0,0.13197698744769876,0.035062587400661684
418011,1981,1,0,0,1,0.03391726871683396,0.0,0.0,0.0368106006344009
418012,1981,2,0,2,2,0.08528866440764657,0.0,0.07546025104602512,0.07091817592687336
418013,1981,1,0,1,1,0.028562751742215974,0.0,0.021705020920502097,0.02392646406766943
418014,1981,1,0,1,1,0.012179528163160923,0.0,0.008368200836820085,0.008245506326955218
418015,1981,5,0,5,4,0.3331708330669394,0.0,0.3800732217573222,0.2347539138442648
418017,1981,2,0,0,2,0.06275174221597085,0.0,0.0,0.06757563354821106
418020,1981,1,0,0,1,0.03394124416597404,0.0,0.0,0.036836181315870256
418021,1981,1,0,1,1,0.026772584873089957,0.0,0.028106694560669457,0.019194037995838874
418023,1981,3,0,3,1,0.15706316731666772,0.0,0.20664225941422595,0.03368123060131655
418026,1981,2,0,0,2,0.0543763186497027,0.0,0.0,0.05863944882158327
418027,1981,1,0,1,1,0.02224122498561473,0.0,0.006474895397489541,0.022596268631263003
418028,1981,5,0,5,2,0.47734320056262386,0.0,0.6258472803347281,0.060293666223268184
418029,1981,5,0,5,1,0.32801611150182214,0.0,0.430397489539749,0.03808963470786862
418030,1981,1,0,1,1,0.024055367303880828,0.0,0.003849372384937239,0.025017906477028548
419001,1981,5,0,5,2,0.39046416469535195,0.0,0.5121338912133891,0.05799993178484942
421001,1981,2,0,1,2,0.07286138993670481,0.0,0.02013598326359833,0.06814693543435997
421005,1981,3,0,3,2,0.14939102359184195,0.0,0.1966004184100419,0.051613288311333945
421006,1981,4,0,4,2,0.26245124992008184,0.0,0.344581589958159,0.0638323271598622
421008,1981,5,0,3,4,0.2960728214308548,0.0,0.20862970711297074,0.2630205668679014
422006,1981,4,0,4,1,0.2575442746627454,0.0,0.33815899581589964,0.034363382107166
423021,1981,1,0,1,1,0.008407390831788248,0.0,0.0010041841004184101,0.00895323851427402
423022,1981,1,0,1,1,0.02058691899494917,0.0,0.0029497907949790794,0.022101708789522154
423023,1981,1,0,1,1,0.01625535451697462,0.0,0.001087866108786611,0.01759098195709267
423024,1981,4,0,4,1,0.18724825778402915,0.0,0.2461506276150628,0.038183430539922916
423028,1981,1,0,1,1,0.022552905824435778,0.0,0.026642259414225947,0.024105528837954908
424001,1981,5,0,5,1,0.2954174924876926,0.0,0.3877301255230126,0.046838227770387805
424002,1981,3,0,3,1,0.15413017070519788,0.0,0.20280334728033478,0.036597428288822946
424003,1981,1,0,1,1,0.016343264497154914,0.0,0.010167364016736402,0.017667724001500733
424004,1981,5,0,5,2,0.38802666069944375,0.0,0.5089435146443515,0.06148743135850472
424005,1981,2,0,1,2,0.06540502525413976,0.0,0.004696652719665273,0.06911047443637232
424006,1981,2,0,2,1,0.07241384821942332,0.0,0.09584728033472804,0.027234898871039255
424007,1981,2,0,2,1,0.06149702704430663,0.0,0.08155857740585774,0.02483884170674307
424008,1981,5,0,5,2,0.4019883639153507,0.0,0.5272175732217574,0.067643848698796
425001,1981,1,0,1,1,0.008167636340387445,0.0,0.0008368200836820085,0.008808281319281012
425002,1981,1,0,1,1,0.022992455725337257,0.0,0.022656903765690378,0.017428970974453426
425003,1981,1,0,1,1,0.015735886452272876,0.0,0.015930962343096235,0.007196698386711688
425004,1981,1,0,1,1,0.008143660891247363,0.0,0.0012029288702928873,0.00854394761076435
425006,1981,2,0,1,2,0.06772265200434756,0.0,0.004905857740585775,0.07156621985743034
425007,1981,1,0,1,1,0.017821750527459882,0.0,0.00149581589958159,0.019142876632900166
425008,1981,1,0,1,1,0.017653922383479317,0.0,0.0013284518828451885,0.019014973225553393
425009,1981,1,0,1,1,0.026524838565309124,0.0,0.02778242677824268,0.01958627511170231
425011,1981,1,0,1,1,0.030121155936321208,0.0,0.0025418410041841005,0.03195027115522357
425012,1981,2,0,1,2,0.0783917268716834,0.0,0.021255230125523016,0.07881407960708073
425013,1981,1,0,1,1,0.007536282846365321,0.0,0.0008263598326359834,0.008134656707254682
425014,1981,1,0,1,1,0.0263090595230484,0.0,0.007500000000000001,0.02627135986902691
425015,1981,2,0,1,2,0.06565277156192059,0.0,0.0037447698744769876,0.06964766874722875
425016,1981,1,0,1,1,0.03462854037465635,0.0,0.04639121338912134,0.023542753845629115
425019,1981,1,0,1,1,0.02584553417300684,0.0,0.025031380753138075,0.019825028138749617
425020,1981,1,0,1,1,0.023447989258998787,0.0,0.022301255230125525,0.018077014905010402
425021,1981,3,0,3,1,0.12687008503292627,0.0,0.1671234309623431,0.03216344350080153
425022,1981,1,0,1,1,0.026444920401508858,0.0,0.027625523012552305,0.01958627511170231
425023,1981,1,0,1,1,0.013753915990026214,0.0,0.010742677824267783,0.008450151778710053
425024,1981,1,0,1,1,0.033437759734032346,0.0,0.0448326359832636,0.023397796650636106
425025,1981,2,0,2,1,0.06772265200434756,0.0,0.08970711297071131,0.024105528837954908
425027,1981,1,0,1,1,0.013394284252925005,0.0,0.01175732217573222,0.007264913537296633
425028,1981,1,0,1,1,0.00907071159133048,0.0,0.000993723849372385,0.00967802448923906
425029,1981,5,0,5,2,0.3415382648168276,0.0,0.4480962343096235,0.06311606807872028
425030,1981,1,0,1,1,0.01637523176267502,0.0,0.013483263598326361,0.009592755551007878
425031,1981,5,0,5,2,0.29261236493830317,0.0,0.3840585774058578,0.05656741362256557
425033,1981,1,0,1,1,0.029641646953519597,0.0,0.01936192468619247,0.025947337903748424
425034,1981,3,0,3,1,0.1709849114506745,0.0,0.2248640167364017,0.03760360175995089
425035,1981,1,0,1,1,0.011340387443258104,0.0,0.003274058577405858,0.010684197960366999
425036,1981,3,0,1,2,0.08801387379323573,0.0,0.005847280334728035,0.09307957297315733
425037,1981,1,0,1,1,0.019795729173326514,0.0,0.007008368200836821,0.019373102766124358
425039,1981,2,0,2,1,0.07445176139633015,0.0,0.09851464435146444,0.018332821719703945
425040,1981,1,0,1,1,0.028754555335336617,0.0,0.027792887029288706,0.02228930045363075
425042,1981,1,0,1,1,0.02125823157087143,0.0,0.008242677824267785,0.020549814113714655
425043,1981,1,0,1,1,0.017062527971357332,0.0,0.014184100418410044,0.009891196834817014
425044,1981,1,0,1,1,0.015176459305670992,0.0,0.0011715481171548118,0.01641427060950237
425045,1981,5,0,5,2,0.3688702768365194,0.0,0.4838702928870294,0.05732630717282308
425046,1981,2,0,1,2,0.08174828975129467,0.0,0.06036610878661088,0.0715918005388997
425047,1981,5,0,5,2,0.3372386676043731,0.0,0.4424686192468619,0.05260240799481565
425048,1981,2,0,1,2,0.06195256057796816,0.0,0.044864016736401675,0.05622633786964085
425049,1981,1,0,1,1,0.013194488843424333,0.0,0.008629707112970711,0.009260206691906274
426001,1981,4,0,4,1,0.20829071031263985,0.0,0.2736924686192469,0.0387888400013643
426003,1981,5,0,5,2,0.405952304839844,0.0,0.5324058577405859,0.06054947303796173
426004,1981,5,0,5,2,0.3917588389489163,0.0,0.5138284518828452,0.0587929329103994
426005,1981,5,0,5,2,0.3982002429512179,0.0,0.5222594142259415,0.06174323817319826
426006,1981,2,0,1,2,0.06113739530720542,0.0,0.0038807531380753144,0.06478733926805143
426007,1981,2,0,1,2,0.0673230611853462,0.0,0.048964435146443525,0.06082233364030151
426008,1981,1,0,1,1,0.022329134965795024,0.0,0.0034309623430962347,0.02147924554043453
426010,1981,5,0,5,2,0.37030880378492426,0.0,0.4857531380753139,0.0675926873358573
426012,1981,3,0,3,1,0.09522249216801995,0.0,0.12570083682008368,0.030927043896449402
426013,1981,2,0,1,2,0.07741672527332012,0.0,0.005627615062761508,0.08177291176370272
426014,1981,5,0,5,1,0.2685410140016623,0.0,0.3525523012552302,0.04444217060609161
438002,1981,1,0,1,1,0.03567546832043987,0.0,0.04252092050209206,0.028974385210955352
438015,1981,2,0,1,2,0.07768045521386101,0.0,0.008797071129707113,0.08128687881578497
438017,1981,1,0,1,1,0.008870916181829806,0.0,0.0010460251046025106,0.009422217674545517
439009,1981,2,0,2,1,0.07835975960616329,0.0,0.10362970711297072,0.034661823390975136
440006,1981,2,0,2,1,0.07931078575538648,0.0,0.10487447698744772,0.038618302124901936
440009,1981,1,0,1,1,0.03179943737612685,0.0,0.03281380753138076,0.026245779187557557
441001,1981,1,0,1,1,0.019619909212965924,0.0,0.008200836820083683,0.018827381561444798
441003,1981,1,0,1,1,0.021042452528610704,0.0,0.008880753138075315,0.020089361847266275
441004,1981,4,0,4,2,0.1912841250559427,0.0,0.25143305439330543,0.06610900781063474
441006,1981,1,0,1,1,0.032390831788248836,0.0,0.04346234309623432,0.024369862546471572
441007,1981,1,0,1,1,0.029274023400038363,0.0,0.03266736401673641,0.023082301579180738
441008,1981,1,0,1,1,0.027603733776612748,0.0,0.033368200836820086,0.021555987584842593
441009,1981,1,0,1,1,0.0074004219679048655,0.0,0.0015062761506276152,0.007529247245813295
441012,1981,1,0,1,1,0.0157438782686529,0.0,0.005951882845188284,0.013753879736689519
441014,1981,1,0,1,1,0.006425420369541589,0.0,0.0005439330543933055,0.007119956342303625
441015,1981,4,0,4,2,0.20709193785563582,0.0,0.27212343096234315,0.059210750707732185
441016,1981,1,0,1,1,0.012315389041621381,0.0,0.008054393305439332,0.00868890480575736
441017,1981,1,0,1,1,0.035683460136819896,0.0,0.03502092050209205,0.0308332480643951
441018,1981,1,0,1,1,0.007768045521386101,0.0,0.0007426778242677825,0.008433097991063817
441019,1981,1,0,1,1,0.023479956524518893,0.0,0.03179916317991632,0.02270711825096354
441022,1981,1,0,1,1,0.010101655904353943,0.0,0.006129707112970712,0.007409870732289641
441023,1981,2,0,1,2,0.06478965539287769,0.0,0.004508368200836821,0.06847095739963845
441024,1981,1,0,1,1,0.009869893229333163,0.0,0.0037447698744769876,0.008799754425457895
441026,1981,1,0,1,1,0.020299213605268207,0.0,0.008661087866108787,0.019338995190831886
441027,1981,1,0,1,1,0.007368454702384759,0.0,0.0010460251046025106,0.007802107848153074
441028,1981,1,0,1,1,0.011308420177737996,0.0,0.008242677824267785,0.0073416555817046964
441029,1981,2,0,1,2,0.06868166996995077,0.0,0.027897489539748955,0.06649271803267505
441030,1981,1,0,1,1,0.0315756665174861,0.0,0.03814853556485356,0.0242419591391248
441031,1981,1,0,1,1,0.024814589859983378,0.0,0.026945606694560673,0.01943279102288618
441032,1981,3,0,3,1,0.09930631033821367,0.0,0.13104602510460253,0.032197551076094004
441033,1981,1,0,1,1,0.03323796432453168,0.0,0.04190376569037658,0.025222551928783383
441034,1981,2,0,2,1,0.06409436736781536,0.0,0.08495815899581591,0.03377502643337085
441036,1981,1,0,1,1,0.00911866248961064,0.0,0.004612970711297072,0.007358709369350932
441037,1981,1,0,1,1,0.03028898408030177,0.0,0.03700836820083682,0.023048194003888266
441038,1981,1,0,1,1,0.012786906208042964,0.0,0.006935146443514646,0.009831508578055186
441039,1981,2,0,1,2,0.06331116936257272,0.0,0.04548117154811716,0.0545124322111941
441040,1981,2,0,2,1,0.05403267054536155,0.0,0.07178870292887031,0.02541014359289198
441042,1981,5,0,5,2,0.28430886771945524,0.0,0.3731903765690377,0.05915958934479348
441043,1981,2,0,2,1,0.07754459433540055,0.0,0.10256276150627616,0.03375797264572462
455009,1981,1,0,1,1,0.0208026980372099,0.0,0.0010564853556485358,0.02244278454244688
458002,1981,4,0,1,4,0.18909436736781535,0.0,0.03317991631799164,0.19367133940448172
458003,1981,1,0,1,1,0.03111214116744454,0.0,0.03338912133891214,0.02558068146935434
458007,1981,4,0,4,3,0.2571127165782239,0.0,0.33759414225941425,0.10008867969576042
458013,1981,4,0,3,3,0.21559523048398438,0.0,0.18689330543933058,0.17632763736825946
461012,1981,3,0,0,3,0.16965826993159003,0.0,0.0,0.18163989222006208
461014,1981,1,0,1,1,0.032390831788248836,0.0,0.018817991631799164,0.02338074286298987
