Erosion_Value1N,Erosion_Value2N,Erosion_Value3N,Erosion_Value4N
-0.007442653,0.069403484,0.015004311,0.0099584125
-0.0073667765,0.0694076,0.015096877,0.0099893175
-0.007701516,0.06939416,0.014680896,0.009859469
-0.007629037,0.06939615,0.014772568,0.0098863505
-0.005636215,0.06947981,0.017242584,0.010664638
0.023723334,0.071141586,0.052938495,0.022724088
-0.0030319393,0.06961037,0.02043632,0.011710998
-0.0055505633,0.06948052,0.017353568,0.010694083
-0.005500436,0.06948702,0.017408524,0.010719683
-0.006531894,0.069442794,0.016131554,0.010315623
0.0034391284,0.06993215,0.028376136,0.014307436
-0.005642593,0.069480255,0.017233644,0.010663059
-0.0054341555,0.06949125,0.017488334,0.010747638
-0.0047546923,0.06952779,0.018317614,0.011024054
-0.0060562193,0.06946297,0.016720746,0.010501649
-0.0074570775,0.06940366,0.014985118,0.009953853
-0.0073087215,0.06941195,0.01516572,0.0100146495
-0.007143259,0.06941678,0.015374336,0.01007634
-0.0053536296,0.06949921,0.017580722,0.010785338
-0.006844759,0.069431916,0.01574013,0.010196533
-0.0040096045,0.069549695,0.019256387,0.01130202
-0.0062764287,0.06945501,0.01644573,0.010417428
-0.0024077296,0.069658116,0.02117506,0.011984583
-0.004340589,0.069561616,0.018804226,0.011208441
-0.0063501596,0.069454506,0.016350184,0.010392245
-0.0060500503,0.06946646,0.01672319,0.010508534
-0.0067591667,0.069436386,0.015844736,0.010231253
-0.0043181777,0.06956117,0.018834267,0.011215236
-0.007025063,0.06942208,0.015520249,0.010122981
-0.006152928,0.06946631,0.01658896,0.0104741715
0.21817577,0.081266955,0.29078493,0.10137868
-0.0068107247,0.06943576,0.015778337,0.010213133
0.02211994,0.071036294,0.05101255,0.02204543
0.048971683,0.072596446,0.083594084,0.033130582
0.13095024,0.07731064,0.18314466,0.066906095
0.015046358,0.070790604,0.042161617,0.019353803
0.050737917,0.072501704,0.08605707,0.033586975
-0.002737403,0.06962977,0.020790014,0.01183572
0.008332908,0.070273,0.034222517,0.016405936
-0.0064212084,0.069453254,0.016259287,0.010366853
-0.005763173,0.069481686,0.017073665,0.010624941
-0.005399555,0.069498554,0.017521773,0.010769155
0.0046440363,0.070045695,0.029767428,0.014865126
-0.0065365434,0.069446966,0.01611868,0.010319855
-0.0062928796,0.06945817,0.016419206,0.010416355
-0.006248474,0.06945981,0.016474579,0.010433372
-0.0062373877,0.06945972,0.016489062,0.010436889
-0.006645113,0.069442585,0.015983853,0.010277655
